,budget,popularity,revenue,vote_average,vote_count,title,genre,production_company,Cluster
0,237000000,150.437577,2787965087.0,7.2,11800.0,Avatar,Action,Ingenious Film Partners,3
1,300000000,139.082615,961000000.0,6.9,4500.0,Pirates of the Caribbean: At World's End,Adventure,Walt Disney Pictures,3
2,245000000,107.376788,880674609.0,6.3,4466.0,Spectre,Action,Columbia Pictures,1
3,250000000,112.31295,1084939099.0,7.6,9106.0,The Dark Knight Rises,Action,Legendary Pictures,3
4,260000000,43.926995,284139100.0,6.1,2124.0,John Carter,Action,Walt Disney Pictures,4
5,258000000,115.699814,890871626.0,5.9,3576.0,Spider-Man 3,Fantasy,Columbia Pictures,1
6,260000000,48.681969,591794936.0,7.4,3330.0,Tangled,Animation,Walt Disney Pictures,1
7,280000000,134.279229,1405403694.0,7.3,6767.0,Avengers: Age of Ultron,Action,Marvel Studios,4
8,250000000,98.885637,933959197.0,7.4,5293.0,Harry Potter and the Half-Blood Prince,Adventure,Warner Bros.,3
9,250000000,155.790452,873260194.0,5.7,7004.0,Batman v Superman: Dawn of Justice,Action,DC Comics,1
10,270000000,57.925623,391081192.0,5.4,1400.0,Superman Returns,Adventure,DC Comics,3
11,200000000,107.928811,586090727.0,6.1,2965.0,Quantum of Solace,Adventure,Eon Productions,4
12,200000000,145.847379,1065659812.0,7.0,5246.0,Pirates of the Caribbean: Dead Man's Chest,Adventure,Walt Disney Pictures,1
13,255000000,49.046956,89289910.0,5.9,2311.0,The Lone Ranger,Action,Walt Disney Pictures,1
14,225000000,99.398009,662845518.0,6.5,6359.0,Man of Steel,Action,Legendary Pictures,1
15,225000000,53.978602,419651413.0,6.3,1630.0,The Chronicles of Narnia: Prince Caspian,Adventure,Walt Disney,1
16,220000000,144.448633,1519557910.0,7.4,11776.0,The Avengers,Science Fiction,Paramount Pictures,3
17,380000000,135.413856,1045713802.0,6.4,4948.0,Pirates of the Caribbean: On Stranger Tides,Adventure,Walt Disney Pictures,1
18,225000000,52.035179,624026776.0,6.2,4160.0,Men in Black 3,Action,Amblin Entertainment,1
19,250000000,120.965743,956019788.0,7.1,4760.0,The Hobbit: The Battle of the Five Armies,Action,WingNut Films,1
20,215000000,89.866276,752215857.0,6.5,6586.0,The Amazing Spider-Man,Action,Columbia Pictures,1
21,200000000,37.668301,310669540.0,6.2,1398.0,Robin Hood,Action,Imagine Entertainment,1
22,250000000,94.370564,958400000.0,7.6,4524.0,The Hobbit: The Desolation of Smaug,Adventure,WingNut Films,1
23,180000000,42.990906,372234864.0,5.8,1303.0,The Golden Compass,Adventure,New Line Cinema,1
24,207000000,61.22601,550000000.0,6.6,2337.0,King Kong,Adventure,WingNut Films,1
25,200000000,100.025899,1845034188.0,7.5,7562.0,Titanic,Drama,Paramount Pictures,1
26,250000000,198.372395,1153304495.0,7.1,7241.0,Captain America: Civil War,Adventure,Studio Babelsberg,4
27,209000000,64.928382,303025485.0,5.5,2114.0,Battleship,Thriller,Universal Pictures,1
28,150000000,418.708552,1513528810.0,6.5,8662.0,Jurassic World,Action,Universal Studios,3
29,200000000,93.004993,1108561013.0,6.9,7604.0,Skyfall,Action,Columbia Pictures,3
30,200000000,35.149586,783766341.0,6.7,4321.0,Spider-Man 2,Action,Columbia Pictures,4
31,200000000,77.68208,1215439994.0,6.8,8806.0,Iron Man 3,Action,Marvel Studios,1
32,200000000,78.530105,1025491110.0,6.4,4645.0,Alice in Wonderland,Family,Walt Disney Pictures,1
33,210000000,3.857526,459359555.0,6.3,3525.0,X-Men: The Last Stand,Adventure,Ingenious Film Partners,3
34,200000000,89.186492,743559607.0,7.0,3528.0,Monsters University,Animation,Walt Disney Pictures,1
35,150000000,21.939663,836297228.0,6.0,3138.0,Transformers: Revenge of the Fallen,Science Fiction,Paramount Pictures,1
36,210000000,116.840296,1091405097.0,5.8,3095.0,Transformers: Age of Extinction,Science Fiction,Paramount Pictures,1
37,200000000,46.985445,491868548.0,5.7,3530.0,Oz: The Great and Powerful,Fantasy,Walt Disney Pictures,1
38,200000000,89.270217,705717432.0,6.5,4179.0,The Amazing Spider-Man 2,Action,Columbia Pictures,1
39,170000000,73.79505,400062763.0,6.3,2841.0,TRON: Legacy,Adventure,Walt Disney Pictures,1
40,200000000,49.98659,559852396.0,5.8,2033.0,Cars 2,Animation,Walt Disney Pictures,1
41,200000000,51.872839,219851172.0,5.1,2487.0,Green Lantern,Adventure,De Line Pictures,1
42,200000000,59.995418,1066969703.0,7.6,4597.0,Toy Story 3,Animation,Walt Disney Pictures,1
43,200000000,71.862892,371353001.0,5.9,2463.0,Terminator Salvation,Action,Columbia Pictures,3
44,190000000,102.322217,1506249360.0,7.3,4176.0,Furious 7,Action,Universal Pictures,1
45,200000000,81.834855,531865000.0,6.7,5560.0,World War Z,Action,Paramount Pictures,1
46,250000000,118.078691,747862775.0,7.5,6032.0,X-Men: Days of Future Past,Action,Twentieth Century Fox Film Corporation,1
47,190000000,78.291018,467365246.0,7.4,4418.0,Star Trek Into Darkness,Action,Paramount Pictures,4
48,195000000,43.349855,197687603.0,5.5,2598.0,Jack the Giant Slayer,Action,New Line Cinema,1
49,105000000,61.196071,351040419.0,7.3,3769.0,The Great Gatsby,Drama,Village Roadshow Pictures,3
50,150000000,62.169881,335154643.0,6.2,2317.0,Prince of Persia: The Sands of Time,Adventure,Walt Disney Pictures,4
51,180000000,56.523205,407602906.0,6.7,4794.0,Pacific Rim,Action,Legendary Pictures,1
52,195000000,28.529607,1123746996.0,6.1,3299.0,Transformers: Dark of the Moon,Action,Paramount Pictures,3
53,185000000,75.674458,786636033.0,5.7,2495.0,Indiana Jones and the Kingdom of the Crystal Skull,Adventure,Lucasfilm,3
54,175000000,51.692953,331926147.0,6.6,1736.0,The Good Dinosaur,Adventure,Walt Disney Pictures,4
55,185000000,125.114374,538983207.0,6.7,4641.0,Brave,Animation,Walt Disney Pictures,4
56,185000000,65.352913,343471816.0,6.6,2568.0,Star Trek Beyond,Action,Paramount Pictures,1
57,180000000,66.390712,521311860.0,7.8,6296.0,WALL·E,Animation,Walt Disney Pictures,3
58,140000000,22.57178,258022233.0,6.1,783.0,Rush Hour 3,Action,New Line Cinema,1
59,200000000,45.274225,769653595.0,5.6,4903.0,2012,Action,Columbia Pictures,1
60,200000000,39.744242,325233863.0,6.6,1095.0,A Christmas Carol,Animation,Walt Disney,1
61,176000003,85.36908,183987723.0,5.2,2768.0,Jupiter Ascending,Science Fiction,Village Roadshow Pictures,1
62,180000000,42.741719,356743061.0,5.5,2430.0,The Legend of Tarzan,Action,Village Roadshow Pictures,1
63,180000000,67.391328,748806957.0,6.7,2629.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,Walt Disney,1
