,PC0,PC1,PC2,PC3,PC4,Cluster,title
0,-0.5703298382838671,-0.3522162967869563,-0.0992764465470542,-0.1448866514384341,0.11466681682139779,3,Avatar
1,-0.2502573336967552,-0.15986573273595853,-0.11152506227173864,-0.2732125148222083,0.3321681602821744,3,Pirates of the Caribbean: At World's End
2,0.5791494469876508,-0.27991410050357435,-0.15464174561210065,0.1354754401068865,0.16586041820526629,1,Spectre
3,0.20819917941596877,-0.3462607533217712,-0.14505016594859005,0.46161740504847626,-0.04856850726771933,3,The Dark Knight Rises
4,-0.40150932025464475,0.011357691831526961,0.27444171424324376,-0.3761883945751858,0.06073457967385848,4,John Carter
5,0.8454252740690622,0.02874829928747802,0.2020079907263208,0.18257535977905187,-0.004008841573141908,1,Spider-Man 3
6,0.4620157433593224,-0.1947466704238712,-0.07771974258198665,0.10444283800675275,-0.0850426262845298,1,Tangled
7,-0.4826802048415678,0.3154946144591333,0.48505768876687827,-0.20599258576606183,0.07049786521738582,4,Avengers: Age of Ultron
8,0.036234318097911,-0.15168395924480038,0.01974114490055478,0.35824609286363773,-0.13483164952834292,3,Harry Potter and the Half-Blood Prince
9,0.35880227162073886,-0.33845858548910734,-0.010482891783582412,0.23429691284541942,0.008107441879463329,1,Batman v Superman: Dawn of Justice
10,0.10659660817147576,-0.49494344384620864,-0.152923749614151,0.26944751516242915,-0.06300811452367361,3,Superman Returns
11,-0.08745445941859264,0.2363134809938312,0.1800072107782444,-0.21217669309526077,0.33927035014141366,4,Quantum of Solace
12,0.3864318455651288,-0.22876030080994864,-0.22610666732797005,0.05165771980262468,-0.37864993571419125,1,Pirates of the Caribbean: Dead Man's Chest
13,0.3656566953409699,-0.16141626265942222,-0.12240397643039416,-0.12694253093288987,-0.1580515068327374,1,The Lone Ranger
14,0.6484770035964886,-0.323439197919097,-0.24691707234739038,0.09007886513074215,-0.36371034306312344,1,Man of Steel
15,0.3944470886392166,-0.3751055624622141,-0.11588282685442411,0.25913810678878224,0.046070795873382475,1,The Chronicles of Narnia: Prince Caspian
16,-0.2988627250712759,-0.40207522570454013,-0.2352539719583809,0.3385029091755114,-0.3082127460347416,3,The Avengers
17,0.946930937763627,-0.1519029640822393,-0.3327433750032773,0.0692002082844913,-0.1611374336950555,1,Pirates of the Caribbean: On Stranger Tides
18,0.7333036199575129,0.09999064417880621,-0.09894519923821705,0.17021991843471695,0.01877650075614512,1,Men in Black 3
